year,past_cap,sex,age,weight,bcs,,name,,,,,,,
2020,W Yana,F,8.5,101,,,,,,,,,,
2020,W Yana,F,7.5,111,,,,,,,,,,
2020,W Yana,F,7.5,84,,,,,,,,,,
2020,W Yana,F,6.5,101,,,,,,,,,,
2020,W Yana,M,7.5,174,237,,grade schooler,,,,,,,
2020,W Yana,F,6.5,116,,,,,,,,,,
2020,W Yana,F,8.5,99,,,,,,,,,,
2020,W Yana,F,8.5,111,,,,,,,,,,
2020,W Yana,F,5.5,112,,,,,,,,,,
2020,W Yana,F,2.5,87,,,,,,,,,,
2020,W Yana,F,5.5,118,,,,,,,,,,
2020,W Yana,F,3.5,96,,,,,,,,,,
2020,W Yana,F,7.5,112,,,,,,,,,,
2020,W Yana,F,10.5,106,,,,,,,,,,
2020,W Yana,F,2.5,108,,,,,,,,,,
2020,W Yana,F,2.5,104,,,,,,,,,,
2020,W Yana,F,3.5,99,,,,,,,,,,
2020,W Yana,F,3.5,95,,,,,,,,,,
2020,W Yana,F,2.5,87,,,,,,,,,,
2020,W Yana,F,11.5,110,,,,,,,,,,
2021,W Yana,M,4.5,167,168,,,,,,,,,
2021,W Yana,F,5.5,122,,,,,,,,,,
2021,W Yana,F,7.5,82,,,,,,,,,,
2021,W Yana,F,5.5,119,,,,,,,,,,
2021,W Yana,F,4.5,104,,,,,,,,,,
2021,W Yana,F,4.5,98,,,,,,,,,,
2021,W Yana,F,7.5,93,,,,,,,,,,
2021,W Yana,F,3.5,111,,,,,,,,,,
2021,W Yana,F,7.5,125,,,,,,,,,,
2021,W Yana,F,2.5,90,,,,,,,,,,
2021,W Yana,F,3.5,111,,,,,,,,,,
2021,W Yana,F,5.5,103,,,,,,,,,,
2021,W Yana,F,6.5,93,,,,,,,,,,
2021,W Yana,F,4.5,113,,,,,,,,,,
2021,W Yana,F,10.5,123,,,,,,,,,,
2021,W Yana,F,3.5,112,,,,,,,,,,
2021,W Yana,M,5.5,184,191,,,,,,,,,
2021,W Yana,F,4.5,106,,,,,,,,,,
