"Capture.Year","birthsite","Age","count"
2015,"ey",7.5,10
2015,"ey",8.5,6
2015,"wy",0.5,20
2015,"wy",1.5,11
2015,"wy",2.5,12
2015,"wy",3.5,11
2015,"wy",4.5,6
2016,"dmp",0.5,28
2016,"dmp",1.5,5
2016,"dmp",2.5,10
2016,"dmp",3.5,9
2016,"dmp",4.5,14
2016,"dmp",5.5,13
2016,"dmp",6.5,11
2016,"dmp",7.5,5
2016,"dmp",8.5,5
2016,"dmp",9.5,6
2016,"ey",0.5,15
2016,"ey",1.5,14
2016,"ey",2.5,16
2016,"ey",3.5,16
2016,"ey",4.5,12
2016,"ey",5.5,13
2016,"ey",6.5,12
2016,"ey",7.5,14
2016,"ey",8.5,10
2016,"ey",9.5,6
2016,"wy",0.5,16
2016,"wy",1.5,7
2016,"wy",2.5,10
2016,"wy",3.5,12
2016,"wy",4.5,10
2016,"wy",5.5,9
2017,"dmp",0.5,20
2017,"dmp",1.5,11
2017,"dmp",2.5,7
2017,"dmp",3.5,10
2017,"dmp",4.5,8
2017,"dmp",5.5,13
2017,"dmp",6.5,9
2017,"dmp",7.5,15
2017,"dmp",8.5,5
2017,"dmp",9.5,2
2017,"dmp",10.5,4
2017,"ey",0.5,12
2017,"ey",1.5,9
2017,"ey",2.5,15
2017,"ey",3.5,14
2017,"ey",4.5,16
2017,"ey",5.5,9
2017,"ey",6.5,12
2017,"ey",7.5,10
2017,"ey",8.5,11
2017,"ey",9.5,6
2017,"ey",10.5,4
2017,"wy",0.5,6
2017,"wy",1.5,9
2017,"wy",2.5,12
2017,"wy",3.5,12
2017,"wy",4.5,9
2017,"wy",5.5,8
2017,"wy",6.5,7
2018,"dmp",0.5,20
2018,"dmp",1.5,3
2018,"dmp",2.5,10
2018,"dmp",3.5,6
2018,"dmp",4.5,9
2018,"dmp",5.5,7
2018,"dmp",6.5,9
2018,"dmp",7.5,11
2018,"dmp",8.5,15
2018,"dmp",9.5,1
2018,"dmp",10.5,2
2018,"ey",0.5,11
2018,"ey",1.5,12
2018,"ey",2.5,13
2018,"ey",3.5,14
2018,"ey",4.5,15
2018,"ey",5.5,12
2018,"ey",6.5,9
2018,"ey",7.5,8
2018,"ey",8.5,7
2018,"ey",9.5,8
2018,"ey",10.5,1
2018,"wy",0.5,3
2018,"wy",1.5,4
2018,"wy",2.5,7
2018,"wy",3.5,12
2018,"wy",4.5,11
2018,"wy",5.5,7
2018,"wy",6.5,8
2018,"wy",7.5,3
2019,"dmp",0.5,22
2019,"dmp",1.5,6
2019,"dmp",2.5,5
2019,"dmp",3.5,9
2019,"dmp",4.5,6
2019,"dmp",5.5,7
2019,"dmp",6.5,4
2019,"dmp",7.5,7
2019,"dmp",8.5,12
2019,"dmp",9.5,12
2019,"dmp",10.5,2
2019,"dmp",11.5,1
2019,"ey",0.5,13
2019,"ey",1.5,10
2019,"ey",2.5,11
2019,"ey",3.5,12
2019,"ey",4.5,13
2019,"ey",5.5,12
2019,"ey",6.5,8
2019,"ey",7.5,6
2019,"ey",8.5,6
2019,"ey",9.5,6
2019,"ey",10.5,7
2019,"wy",0.5,6
2019,"wy",1.5,3
2019,"wy",2.5,4
2019,"wy",3.5,7
2019,"wy",4.5,9
2019,"wy",5.5,9
2019,"wy",6.5,7
2019,"wy",7.5,7
2019,"wy",8.5,2
2020,"dmp",0.5,20
2020,"dmp",1.5,7
2020,"dmp",2.5,10
2020,"dmp",3.5,5
2020,"dmp",4.5,7
2020,"dmp",5.5,4
2020,"dmp",6.5,7
2020,"dmp",7.5,7
2020,"dmp",8.5,8
2020,"dmp",9.5,5
2020,"dmp",10.5,8
2020,"dmp",11.5,2
2020,"ey",0.5,17
2020,"ey",1.5,12
2020,"ey",2.5,11
2020,"ey",3.5,11
2020,"ey",4.5,10
2020,"ey",5.5,11
2020,"ey",6.5,12
2020,"ey",7.5,10
2020,"ey",8.5,4
2020,"ey",9.5,4
2020,"ey",10.5,6
2020,"ey",11.5,7
2020,"wy",0.5,3
2020,"wy",1.5,3
2020,"wy",2.5,3
2020,"wy",3.5,4
2020,"wy",4.5,9
2020,"wy",5.5,10
2020,"wy",6.5,9
2020,"wy",7.5,4
2020,"wy",8.5,8
2020,"wy",9.5,4
2021,"dmp",0.5,18
2021,"dmp",1.5,8
2021,"dmp",2.5,12
2021,"dmp",3.5,11
2021,"dmp",4.5,5
2021,"dmp",5.5,8
2021,"dmp",6.5,4
2021,"dmp",7.5,6
2021,"dmp",8.5,5
2021,"dmp",9.5,6
2021,"dmp",10.5,8
2021,"dmp",11.5,6
2021,"ey",0.5,15
2021,"ey",1.5,13
2021,"ey",2.5,12
2021,"ey",3.5,10
2021,"ey",4.5,11
2021,"ey",5.5,9
2021,"ey",6.5,11
2021,"ey",7.5,9
2021,"ey",8.5,8
2021,"ey",9.5,5
2021,"ey",10.5,2
2021,"ey",11.5,3
2021,"ey",12.5,3
2021,"wy",0.5,3
2021,"wy",1.5,1
2021,"wy",2.5,4
2021,"wy",3.5,2
2021,"wy",4.5,4
2021,"wy",5.5,8
2021,"wy",6.5,7
2021,"wy",7.5,8
2021,"wy",8.5,3
2021,"wy",9.5,6
2021,"wy",10.5,1
2022,"dmp",0.5,23
2022,"dmp",1.5,2
2022,"dmp",2.5,10
2022,"dmp",3.5,12
2022,"dmp",4.5,8
2022,"dmp",5.5,5
2022,"dmp",6.5,7
2022,"dmp",7.5,4
2022,"dmp",8.5,5
2022,"dmp",9.5,3
2022,"dmp",10.5,5
2022,"dmp",11.5,6
2022,"dmp",12.5,2
2022,"ey",0.5,19
2022,"ey",1.5,13
2022,"ey",2.5,10
2022,"ey",3.5,11
2022,"ey",4.5,8
2022,"ey",5.5,11
2022,"ey",6.5,9
2022,"ey",7.5,6
2022,"ey",8.5,5
2022,"ey",9.5,4
2022,"ey",10.5,2
2022,"ey",11.5,1
2022,"ey",12.5,3
2022,"wy",0.5,4
2022,"wy",1.5,1
2022,"wy",2.5,1
2022,"wy",3.5,4
2022,"wy",4.5,2
2022,"wy",5.5,4
2022,"wy",6.5,7
2022,"wy",7.5,6
2022,"wy",8.5,6
2022,"wy",9.5,3
2022,"wy",10.5,5
2022,"wy",11.5,2
2022,"wy",12.5,1
