"birthsite","year_birth","year","animal_id","year_cap","age","weight","weightkg","points_total","mass_total","bcsin","bcscm","annual.cy","rain.site.cy","annual.by","rain.site.by"
"dmp",2008,2011,"270-2008-1-022",2011,3,162,74,10,25.25,117.125,297,14.1,"dmp_1",20.3,"dmp_2"
"dmp",2008,2015,"270-2008-1-014",2015,7,199,90,13,32.5,156.625,398,29.1,"dmp_3",20.3,"dmp_2"
"dmp",2008,2016,"270-2008-1-018",2016,8,190,86,12,34.875,178.25,453,20.2,"dmp_2",20.3,"dmp_2"
"dmp",2008,2011,"270-2008-1-028",2011,3,127,58,11,25.75,122.25,311,14.1,"dmp_1",20.3,"dmp_2"
"dmp",2008,2015,"270-2008-1-017",2015,7,191,87,16,34.25,200.5,509,29.1,"dmp_3",20.3,"dmp_2"
"dmp",2008,2014,"270-2008-1-014",2014,6,213,97,14,30.5,157.625,400,22.1,"dmp_2",20.3,"dmp_2"
"dmp",2008,2013,"270-2008-1-012",2013,5,184,84,11,29,143.125,364,34.5,"dmp_3",20.3,"dmp_2"
"dmp",2008,2015,"270-2008-1-013",2015,7,191,87,13,34.25,177.625,451,29.1,"dmp_3",20.3,"dmp_2"
"dmp",2008,2012,"270-2008-1-018",2012,4,196,89,12,33.875,175.625,446,15.8,"dmp_1",20.3,"dmp_2"
"dmp",2008,2011,"270-2008-1-013",2011,3,162,74,10,26.375,125.125,318,14.1,"dmp_1",20.3,"dmp_2"
"dmp",2008,2013,"270-2008-1-017",2013,5,193,88,13,32.625,189.125,480,34.5,"dmp_3",20.3,"dmp_2"
"dmp",2008,2009,"270-2008-1-013",2009,1,116,53,4,16.125,51.875,132,20.4,"dmp_2",20.3,"dmp_2"
"dmp",2008,2013,"270-2008-1-022",2013,5,200,91,18,31.375,177.875,452,34.5,"dmp_3",20.3,"dmp_2"
"dmp",2008,2010,"270-2008-1-028",2010,2,115,52,8,20.625,91.125,231,31.8,"dmp_3",20.3,"dmp_2"
"dmp",2008,2014,"270-2008-1-013",2014,6,187,85,11,30,168.5,428,22.1,"dmp_2",20.3,"dmp_2"
"dmp",2008,2012,"270-2008-1-013",2012,4,185,84,11,30.5,157.875,401,15.8,"dmp_1",20.3,"dmp_2"
"dmp",2008,2018,"270-2008-1-017",2018,10,174,79,13,32.875,178.875,454,29.1,"dmp_3",20.3,"dmp_2"
"dmp",2008,2011,"270-2008-1-017",2011,3,161,73,10,29,151.625,385,14.1,"dmp_1",20.3,"dmp_2"
"dmp",2008,2014,"270-2008-1-012",2014,6,196,89,11,32.625,157.375,400,22.1,"dmp_2",20.3,"dmp_2"
"dmp",2008,2014,"270-2008-1-008",2014,6,167,76,17,35,190,483,22.1,"dmp_2",20.3,"dmp_2"
"dmp",2008,2010,"270-2008-1-018",2010,2,150,68,10,25.5,112.5,286,31.8,"dmp_3",20.3,"dmp_2"
"dmp",2008,2015,"270-2008-1-012",2015,7,186,85,11,33.625,163,414,29.1,"dmp_3",20.3,"dmp_2"
"dmp",2008,2013,"270-2008-1-014",2013,5,213,97,14,30.75,149.625,380,34.5,"dmp_3",20.3,"dmp_2"
"dmp",2009,2019,"270-2009-1-024",2019,10,190,86,11,32.375,156.375,397,12,"dmp_1",20.4,"dmp_2"
"dmp",2009,2020,"270-2009-1-009",2020,11,134,61,14,29.25,167.125,424,23.1,"dmp_2",20.4,"dmp_2"
"dmp",2009,2013,"270-2009-1-010",2013,4,194,88,12,31.25,153.5,390,34.5,"dmp_3",20.4,"dmp_2"
"dmp",2009,2013,"270-2009-1-012",2013,4,191,87,10,26,123,312,34.5,"dmp_3",20.4,"dmp_2"
"dmp",2009,2011,"270-2009-1-038",2011,2,112,51,9,21.875,90,229,14.1,"dmp_1",20.4,"dmp_2"
"dmp",2009,2017,"270-2009-1-024",2017,8,176,80,11,34,167.625,426,24.61,"dmp_2",20.4,"dmp_2"
"dmp",2009,2010,"270-2009-1-024",2010,1,121,55,5,15,48.5,123,31.8,"dmp_3",20.4,"dmp_2"
"dmp",2009,2014,"270-2009-1-012",2014,5,210,95,9,28.25,128.375,326,22.1,"dmp_2",20.4,"dmp_2"
"dmp",2009,2014,"270-2009-1-024",2014,5,208,95,12,30.875,164.5,418,22.1,"dmp_2",20.4,"dmp_2"
"dmp",2009,2013,"270-2009-1-024",2013,4,183,83,10,30.5,156.25,397,34.5,"dmp_3",20.4,"dmp_2"
"dmp",2009,2010,"270-2009-1-013",2010,1,112,51,4,13,43.875,111,31.8,"dmp_3",20.4,"dmp_2"
"dmp",2009,2012,"270-2009-1-024",2012,3,180,82,10,27.5,137.75,350,15.8,"dmp_1",20.4,"dmp_2"
"dmp",2009,2015,"270-2009-1-002",2015,6,199,90,8,37,129.5,329,29.1,"dmp_3",20.4,"dmp_2"
"dmp",2009,2011,"270-2009-1-020",2011,2,146,66,10,26.625,118.625,301,14.1,"dmp_1",20.4,"dmp_2"
"dmp",2009,2011,"270-2009-1-009",2011,2,149,68,10,22.125,107.875,274,14.1,"dmp_1",20.4,"dmp_2"
"dmp",2009,2013,"270-2009-1-020",2013,4,194,88,14,35.125,180.75,459,34.5,"dmp_3",20.4,"dmp_2"
"dmp",2009,2010,"270-2009-1-020",2010,1,126,57,9,21.625,83.25,211,31.8,"dmp_3",20.4,"dmp_2"
"dmp",2009,2017,"270-2009-1-002",2017,8,178,81,9,30.875,127.25,323,24.61,"dmp_2",20.4,"dmp_2"
"dmp",2009,2016,"270-2009-1-020",2016,7,NA,NA,15,35.875,186.125,473,20.2,"dmp_2",20.4,"dmp_2"
"dmp",2009,2010,"270-2009-1-023",2010,1,91,41,9,20.75,79.625,202,31.8,"dmp_3",20.4,"dmp_2"
"dmp",2009,2014,"270-2009-1-009",2014,5,198,90,14,29.125,165.125,419,22.1,"dmp_2",20.4,"dmp_2"
"dmp",2009,2016,"270-2009-1-024",2016,7,193,88,12,35.125,171.75,436,20.2,"dmp_2",20.4,"dmp_2"
"dmp",2009,2010,"270-2009-1-021",2010,1,126,57,8,17.875,68.25,173,31.8,"dmp_3",20.4,"dmp_2"
"dmp",2009,2015,"270-2009-1-020",2015,6,196,89,17,38.375,199.125,506,29.1,"dmp_3",20.4,"dmp_2"
"dmp",2009,2016,"270-2009-1-023",2016,7,184,84,13,38.875,187.75,477,20.2,"dmp_2",20.4,"dmp_2"
"dmp",2009,2012,"270-2009-1-012",2012,3,182,83,10,25.375,118.75,302,15.8,"dmp_1",20.4,"dmp_2"
"dmp",2009,2011,"270-2009-1-002",2011,2,149,68,8,21.875,97.75,248,14.1,"dmp_1",20.4,"dmp_2"
"dmp",2009,2013,"270-2009-1-011",2013,4,182,83,9,28.75,127.875,325,34.5,"dmp_3",20.4,"dmp_2"
"dmp",2009,2012,"270-2009-1-020",2012,3,154,70,15,32.625,161.125,409,15.8,"dmp_1",20.4,"dmp_2"
"dmp",2009,2016,"270-2009-1-012",2016,7,192,87,8,26,118.25,300,20.2,"dmp_2",20.4,"dmp_2"
"dmp",2009,2012,"270-2009-1-009",2012,3,173,79,13,26.25,134.625,342,15.8,"dmp_1",20.4,"dmp_2"
"dmp",2009,2012,"270-2009-1-038",2012,3,123,56,10,26.25,113,287,15.8,"dmp_1",20.4,"dmp_2"
"dmp",2009,2015,"270-2009-1-012",2015,6,195,89,9,26.5,125,318,29.1,"dmp_3",20.4,"dmp_2"
"dmp",2009,2015,"270-2009-1-024",2015,6,191,87,11,34.125,172.75,439,29.1,"dmp_3",20.4,"dmp_2"
"dmp",2009,2011,"270-2009-1-023",2011,2,136,62,9,23.75,110.125,280,14.1,"dmp_1",20.4,"dmp_2"
"dmp",2009,2012,"270-2009-1-010",2012,3,184,84,12,29.5,147.5,375,15.8,"dmp_1",20.4,"dmp_2"
"dmp",2009,2010,"270-2009-1-011",2010,1,114,52,3,12.75,35.125,89,31.8,"dmp_3",20.4,"dmp_2"
"dmp",2009,2017,"270-2009-1-009",2017,8,171,78,13,30.25,165.375,420,24.61,"dmp_2",20.4,"dmp_2"
"dmp",2009,2016,"270-2009-1-002",2016,7,184,84,10,30.75,124.875,317,20.2,"dmp_2",20.4,"dmp_2"
"dmp",2009,2014,"270-2009-1-010",2014,5,203,92,11,33.125,162.875,414,22.1,"dmp_2",20.4,"dmp_2"
"dmp",2009,2020,"270-2009-1-024",2020,11,174,79,13,28.875,155.25,394,23.1,"dmp_2",20.4,"dmp_2"
"dmp",2009,2014,"270-2009-1-021",2014,5,203,92,12,31.25,151.375,384,22.1,"dmp_2",20.4,"dmp_2"
"dmp",2009,2010,"270-2009-1-010",2010,1,123,56,8,16.375,65.75,167,31.8,"dmp_3",20.4,"dmp_2"
"dmp",2009,2017,"270-2009-1-012",2017,8,175,80,7,23.5,106.625,271,24.61,"dmp_2",20.4,"dmp_2"
"dmp",2009,2011,"270-2009-1-012",2011,2,155,70,8,20.75,96.75,246,14.1,"dmp_1",20.4,"dmp_2"
"dmp",2009,2010,"270-2009-1-002",2010,1,124,56,4,15.5,50.875,129,31.8,"dmp_3",20.4,"dmp_2"
"dmp",2009,2011,"270-2009-1-021",2011,2,135,61,9,23.5,95,241,14.1,"dmp_1",20.4,"dmp_2"
"dmp",2009,2010,"270-2009-1-033",2010,1,112,51,8,15.375,61.5,156,31.8,"dmp_3",20.4,"dmp_2"
"dmp",2009,2015,"270-2009-1-023",2015,6,197,90,17,40.5,212.75,540,29.1,"dmp_3",20.4,"dmp_2"
"dmp",2009,2012,"270-2009-1-002",2012,3,178,81,9,27.25,115.625,294,15.8,"dmp_1",20.4,"dmp_2"
"dmp",2009,2013,"270-2009-1-023",2013,4,188,85,12,33.125,168.125,427,34.5,"dmp_3",20.4,"dmp_2"
"dmp",2009,2012,"270-2009-1-023",2012,3,168,76,10,30.875,148.125,376,15.8,"dmp_1",20.4,"dmp_2"
"dmp",2009,2010,"270-2009-1-009",2010,1,119,54,6,16.625,58.375,148,31.8,"dmp_3",20.4,"dmp_2"
"dmp",2009,2013,"270-2009-1-009",2013,4,191,87,15,28.5,149.75,380,34.5,"dmp_3",20.4,"dmp_2"
"dmp",2009,2012,"270-2009-1-011",2012,3,172,78,9,26.125,118.625,301,15.8,"dmp_1",20.4,"dmp_2"
"dmp",2009,2010,"270-2009-1-038",2010,1,94,43,2,16,30.25,77,31.8,"dmp_3",20.4,"dmp_2"
"dmp",2009,2015,"270-2009-1-009",2015,6,175,80,15,30.5,171.625,436,29.1,"dmp_3",20.4,"dmp_2"
"dmp",2009,2011,"270-2009-1-033",2011,2,128,58,9,21.25,102.5,260,14.1,"dmp_1",20.4,"dmp_2"
"dmp",2009,2012,"270-2009-1-021",2012,3,143,65,11,26.75,125.25,318,15.8,"dmp_1",20.4,"dmp_2"
"dmp",2009,2011,"270-2009-1-010",2011,2,144,65,9,23.25,109.375,278,14.1,"dmp_1",20.4,"dmp_2"
"dmp",2009,2019,"270-2009-1-009",2019,10,190,86,13,32.125,154,391,12,"dmp_1",20.4,"dmp_2"
"dmp",2009,2017,"270-2009-1-023",2017,8,178,81,14,36.625,185,470,24.61,"dmp_2",20.4,"dmp_2"
"dmp",2009,2014,"270-2009-1-020",2014,5,206,94,14,37.125,184.875,470,22.1,"dmp_2",20.4,"dmp_2"
