"","year","pasture","live_weight","age"
"179",2021,"SE Toro",93,"2.5"
"180",2021,"SE Toro",113,"10.5"
"181",2021,"SE Toro",97,"5.5"
"182",2021,"SE Toro",106,"2.5"
"183",2021,"SE Toro",116,"8.5"
"184",2021,"SE Toro",91,"2.5"
"185",2021,"Yana",126,"3.5"
"186",2021,"Yana",88,"2.5"
"187",2021,"Yana",80,"2.5"
"188",2021,"Yana",101,"4.5"
"189",2021,"Yana",93,"4.5"
"190",2021,"Yana",108,"5.5"
"191",2021,"Yana",86,"1.5"
"192",2021,"Yana",100,"6.5"
"193",2021,"SE Toro",101,"6.5"
"194",2021,"Yana",92,"4.5"
"195",2021,"Yana",116,"5.5"
"196",2021,"Yana",101,"4.5"
"197",2021,"Yana",74,"1.5"
"198",2021,"Yana",92,"6.5"
"199",2021,"Yana",97,"3.5"
"200",2021,"Yana",96,"8.5"
"201",2021,"Yana",69,"1.5"
"202",2021,"Yana",92,"5.5"
"203",2021,"Yana",109,"6.5"
"204",2021,"SE Toro",73,"1.5"
"205",2021,"SE Toro",92,"2.5"
"206",2021,"SE Toro",78,"1.5"
"207",2021,"Yana",58,"0.5"
"209",2021,"Yana",100,"4.5"
"210",2021,"Yana",108,"6.5"
"211",2021,"Yana",90,"3.5"
"212",2021,"West Toro-Fed",35,"0.5"
"213",2021,"SE Toro",101,"3.5"
"214",2021,"SE Toro",116,"10.5"
"215",2021,"SE Toro",95,"2.5"
"216",2021,"Yana",117,"5.5"
"217",2021,"Yana",80,"3.5"
"218",2021,"East Yana",113,"5.5"
"219",2021,"East Yana",92,"3.5"
"220",2021,"East Yana",100,"5.5"
"221",2021,"East Yana",45,"0.5"
"222",2021,"East Yana",48,"0.5"
"223",2021,"East Yana",108,"7.5"
"224",2021,"East Yana",106,"5.5"
"225",2021,"East Yana",108,"3.5"
"226",2021,"East Yana",56,"0.5"
"227",2021,"West Yana",39,"0.5"
"228",2021,"West Yana",113,"10.5"
"229",2021,"West Yana",110,"8.5"
"230",2021,"West Yana",103,"2.5"
"231",2021,"West Yana",110,"12.5"
"232",2021,"West Yana",105,"10.5"
"233",2021,"West Yana",73,"1.5"
"234",2021,"West Yana",38,"0.5"
"235",2021,"West Yana",44,"0.5"
"236",2021,"Yana",104,"2.5"
"237",2021,"Yana",101,"6.5"
"238",2021,"Yana",99,"2.5"
"239",2021,"West Yana",66,"1.5"
"240",2021,"West Yana",105,"3.5"
"241",2021,"West Yana",78,"1.5"
"242",2021,"West Yana",65,"1.5"
"243",2021,"West Yana",108,"6.5"
"244",2021,"West Yana",44,"0.5"
"245",2021,"West Yana",95,"10.5"
"246",2021,"West Yana",99,"4.5"
"247",2021,"West Yana",79,"1.5"
"248",2021,"West Yana",104,"10.5"
"249",2021,"West Yana",70,"1.5"
"250",2021,"West Yana",92,"3.5"
"251",2021,"West Yana",80,"2.5"
"252",2021,"West Yana",95,"2.5"
"253",2021,"West Yana",105,"6.5"
"254",2021,"West Yana",108,"10.5"
"255",2021,"West Yana",93,"8.5"
"256",2021,"West Yana",99,"9.5"
"257",2021,"West Yana",103,"3.5"
"258",2021,"West Yana",91,"3.5"
"259",2021,"West Yana",93,"2.5"
"260",2021,"West Yana",77,"1.5"
"261",2021,"East Yana",44,"0.5"
"262",2021,"East Yana",92,"4.5"
"263",2021,"East Yana",75,"2.5"
"264",2021,"East Yana",96,"7.5"
"265",2021,"East Yana",96,"6.5"
"266",2021,"East Yana",100,"3.5"
"267",2021,"West Toro-Fed",104,"4.5"
"268",2021,"West Yana",103,"3.5"
