"animal_id","birthsite","year_birth","year_cap","age","weight.lb","weight.kg","antler.in","antler.cm","annual.by","annual.cy","by.rain.bin","cy.rain.bin","match"
"270-2008-1-011","dmp",2008,2011,3,152,69.09,135,342.9,20.3,14.1,"intermediate","dry","2"
"270-2007-1-051","dmp",2007,2011,4,202,91.82,162.5,412.75,38.35,14.1,"wet","dry","2"
"270-2009-1-038","dmp",2009,2011,2,112,50.91,90,228.6,20.4,14.1,"intermediate","dry","2"
"270-2009-1-033","dmp",2009,2011,2,128,58.18,102.5,260.35,20.4,14.1,"intermediate","dry","2"
"270-2008-1-028","dmp",2008,2011,3,127,57.73,122.25,310.52,20.3,14.1,"intermediate","dry","2"
"270-2007-1-001","dmp",2007,2011,4,189,85.91,130.75,332.1,38.35,14.1,"wet","dry","2"
"270-2010-1-023","dmp",2010,2011,1,94,42.73,47,119.38,31.8,14.1,"wet","dry","2"
"270-2010-1-010","dmp",2010,2011,1,111,50.45,84.375,214.31,31.8,14.1,"wet","dry","2"
"270-2008-1-013","dmp",2008,2011,3,162,73.64,125.125,317.82,20.3,14.1,"intermediate","dry","2"
"270-2010-1-027","dmp",2010,2011,1,116,52.73,51.375,130.49,31.8,14.1,"wet","dry","2"
"270-2008-1-022","dmp",2008,2011,3,162,73.64,117.125,297.5,20.3,14.1,"intermediate","dry","2"
"270-2007-1-012","dmp",2007,2011,4,201,91.36,135.375,343.85,38.35,14.1,"wet","dry","2"
"270-2007-1-006","dmp",2007,2011,4,191,86.82,118.875,301.94,38.35,14.1,"wet","dry","2"
"270-2010-1-086","dmp",2010,2011,1,108,49.09,60.25,153.04,31.8,14.1,"wet","dry","2"
"270-2009-1-002","dmp",2009,2011,2,149,67.73,97.75,248.28,20.4,14.1,"intermediate","dry","2"
"270-2010-1-014","dmp",2010,2011,1,104,47.27,46.125,117.16,31.8,14.1,"wet","dry","2"
"270-2007-1-066","dmp",2007,2011,4,160,72.73,155.875,395.92,38.35,14.1,"wet","dry","2"
