year,pasture,sex,dressed_weight,live_weight,age,
2021,Yana,f,78,101,4.5,
2021,Yana,f,72,93,5.5,
2021,Yana,f,75,97,5.5,
2021,Yana,f,77,100,5.5,
2021,Yana,f,76,99,5.5,
2021,Yana,f,83,108,6.5,
2021,Yana,f,75,97,5.5,
2021,Yana,f,84,109,5.5,
2021,West Toro-Fed,f,80,104,4.5,
2021,Yana,f,75,97,5.5,
2021,Yana,f,75,97,5.5,
2021,Yana,f,32,42,0.5,
2021,East Toro,f,33,43,0.5,
2021,Yana,f,79,103,6.5,
2021,West Toro-Fed,f,70,91,4.5,
2021,West Toro-Fed,f,82,106,5.5,
2021,West Toro-Fed,f,40,52,0.5,
2021,West Toro-Fed,f,72,93,5.5,
2021,West Toro-Fed,f,71,92,4.5,
2021,West Toro-Fed,f,65,84,3.5,
2021,East Toro,f,72,93,6.5,
2021,West Yana,f,72,93,6.5,
2019,Yana,f,87,113,4.5,
2019,SE Toro,f,111,144,7.5,
2019,Yana,f,76,99,4.5,
2019,Yana,f,74,96,3.5,
2019,Yana,f,75,97,5.5,
2019,Yana,f,83,108,5.5,
2019,Yana,f,80,104,5.5,
2019,Yana,f,77,100,5.5,
2019,Yana,f,64,83,2.5,
2019,Yana,f,56,73,1.5,
2019,Yana,f,79,103,4.5,
2019,Yana,f,89,116,4.5,
2019,Yana,f,72,93,7.5,
2019,Yana,f,59,77,1.5,
2019,Yana,f,65,84,1.5,
2019,Yana,f,79,103,4.5,
2019,Yana,f,63,82,1.5,
2019,Yana,f,91,118,5.5,
2019,Yana,f,70,91,6.5,
2019,Yana,f,68,88,6.5,
2019,Yana,f,86,112,4.5,
2019,Yana,f,71,92,7.5,
2019,Yana,f,80,104,4.5,
2020,East Yana,f,40,52,0.5,
2020,East Yana,f,39,51,0.5,
2020,East Yana,f,35,45,0.5,
2020,East Toro,f,37,48,0.5,
2020,East Yana,f,36,47,0.5,
2020,East Yana,f,30,39,0.5,
2020,East Yana,f,41,53,0.5,
2020,East Yana,f,40,52,0.5,
2020,East Yana,f,42,55,0.5,
2020,East Yana,f,38,49,0.5,
2020,East Yana,f,40,52,0.5,
2020,East Yana,f,40,52,0.5,
2020,East Yana,f,35,45,0.5,
2020,East Yana,f,45,58,0.5,
2020,Yana,f,87,113,4.5,
2020,Yana,f,73,95,5.5,
2020,Yana,f,79,103,3.5,
2020,Yana,f,69,90,4.5,
2020,Yana,f,101,131,6.5,
2020,West Toro-Fed,f,39,51,0.5,
2020,West Toro-Fed,f,42,55,0.5,
2020,Yana,f,74,96,2.5,
2020,Yana,f,94,122,4.5,
2020,East Toro,f,33,43,0.5,
2020,Yana,f,47,61,1.5,
2020,Yana,f,77,100,7.5,
2020,Yana,f,72,93,,
2020,Yana,f,84,109,,
2020,Yana,f,68,88,3.5,
2020,SE Toro,f,66,86,2.5,
2020,SE Toro,f,67,87,2.5,
2020,East Yana,f,37,48,0.5,
2020,East Yana,f,39,51,0.5,
2020,East Yana,f,36,47,0.5,
2020,SE Toro,f,36,47,0.5,
2020,West Yana,f,38,49,0.5,
2020,East Yana,f,39,51,0.5,
2020,SE Toro,f,24,31,0.5,
2020,West Toro-Fed,f,26,34,0.5,
2020,Yana,f,35,45,0.5,
2020,Yana,f,34,44,0.5,
2020,Yana,f,40,52,0.5,
2020,Yana,f,41,53,0.5,
2020,Yana,f,33,43,0.5,
2020,Yana,f,44,57,0.5,
2020,Yana,f,32,42,0.5,
2020,Yana,f,32,42,0.5,
2020,Yana,f,37,48,0.5,
2020,Yana,f,48,62,0.5,
2020,Yana,f,81,105,4.5,
2020,Yana,f,81,105,4.5,
2020,Yana,f,36,47,0.5,
2020,Yana,f,32,42,0.5,
2020,SE Toro,f,49,64,1.5,
2020,East Toro,f,90,117,6.5,
2020,East Toro,f,76,99,4.5,
2020,Yana,f,80,104,5.5,
2020,SE Toro,f,62,80,3.5,
2020,SE Toro,f,70,91,7.5,
2018,SE Toro,,88,114,5.5,
2018,West Toro-Fed,,82,106,5.5,
2018,West Toro-Fed,,87,113,5.5,
2018,West Toro-Fed,,91,118,7.5,
2018,West Toro-Fed,,96,125,4.5,
2018,West Toro-Fed,,83,108,7.5,
2018,SE Toro,,86,112,5.5,
2018,SE Toro,,45,58,0.5,
2018,SE Toro,,89,116,3.5,
2019,Yana,,98,127,4.5,
2019,Yana,,86,112,3.5,
2019,Yana,,90,117,5.5,
2019,Yana,,46,60,0.5,
2019,Yana,,81,105,3.5,
2019,Yana,,84,109,4.5,
2019,Yana,,81,105,6.5,
2019,Yana,,78,101,3.5,
2019,Yana,,92,119,7.5,
2019,Yana,,69,90,2.5,
2019,Yana,,51,66,0.5,
2019,West Toro-Fed,,79,103,2.5,
2019,Yana,,40,52,0.5,
2019,East Yana,,88,114,4.5,
2019,West Toro-Fed,,91,118,6.5,
2019,West Toro-Fed,,85,110,3.5,
2019,Yana,,96,125,5.5,
2019,West Toro-Fed,,86,112,4.5,
2019,Yana,,81,105,5.5,
2019,Yana,,38,49,0.5,
2019,Yana,,46,60,0.5,
2019,Yana,,46,60,0.5,
2019,Yana,,53,69,0.5,
2019,SE Toro,,95,123,6.5,
2019,Yana,,48,62,0.5,
2019,Yana,,84,109,5.5,
2019,Yana,,86,112,5.5,
2019,Yana,,87,113,3.5,
2019,Yana,,46,60,0.5,
2019,Yana,,73,95,1.5,
2019,Yana,,81,105,5.5,
2019,Yana,,45,58,0.5,
2019,Yana,,45,58,0.5,
2019,Yana,,85,110,6.5,
2019,SE Toro,,91,118,5.5,
2019,Yana,,82,106,3.5,
2019,SE Toro,,53,69,0.5,
2019,SE Toro,,44,57,0.5,
2019,SE Toro,,83,108,6.5,
2019,Yana,,99,129,,
2019,Yana,,66,86,1.5,
2019,SE Toro,,83,108,4.5,
2019,SE Toro,,93,121,5.5,
2017,SE Toro,,,112,10.5,
2017,West Yana,,,104,6.5,
2017,West Yana,,,117,10.5,
2017,SE Toro,,,115,10.5,
2017,West Yana,,,95,10.5,
2017,West Yana,,,121,10.5,
2017,SE Toro,,,117,10.5,
2017,SE Toro,,,108,10.5,
2017,SE Toro,,,110,10.5,
2017,SE Toro,,,113,10.5,
2017,West Yana,,,106,10.5,
2017,West Yana,,,122,10.5,
2017,West Yana,,,48,0.5,
2017,West Yana,,,42,0.5,
2017,West Yana,,,51,0.5,
2017,West Yana,,,56,0.5,
2017,West Yana,,,50,0.5,
2017,West Toro-Fed,,83,108,4.5,
